,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Momchil Tsvetanov,57,57,140000.0,1000.0,51,54,48,49,53,67,61,55,43,56,64,76,72,61,77,60,51,66,55,53,38,48,61,53,56,51,50,51,53,12,14,14,9,12
1,Franco Agustín Romero,61,73,775000.0,2000.0,55,42,60,67,40,63,45,41,60,64,66,60,58,57,72,66,57,71,52,52,64,50,56,51,54,46,53,60,64,13,13,6,9,10
2,Bautista Kociubinski,63,76,1100000.0,2000.0,52,42,49,70,41,55,55,54,62,64,55,55,50,58,63,62,56,72,61,54,62,56,43,47,61,51,60,62,64,7,8,12,11,13
3,Ezequiel Naya,60,72,600000.0,1000.0,36,66,70,56,47,56,32,29,28,60,50,51,54,49,34,59,66,55,80,55,57,23,56,52,63,53,26,29,28,8,5,6,9,11
4,Nahuel Franco,61,74,750000.0,1000.0,57,27,47,42,27,66,44,34,40,52,68,69,65,56,68,35,60,75,59,34,57,58,47,44,42,45,59,57,59,13,9,7,5,14
5,Kevin Custovic,58,67,450000.0,1000.0,50,45,58,59,42,59,42,38,56,62,72,70,59,58,55,55,60,65,68,45,68,55,56,59,38,60,53,55,55,8,9,10,15,14
6,Bassekou Diabaté,56,66,325000.0,2000.0,32,57,54,43,42,57,35,28,32,52,75,75,59,53,59,54,61,55,57,49,30,19,55,51,64,50,19,15,12,15,7,11,7,10
7,Javier Mateo Ortíz Morales,58,78,575000.0,500.0,44,65,52,53,42,56,33,28,35,59,76,74,70,52,83,54,71,80,48,50,40,18,55,50,60,52,20,16,14,12,6,13,8,8
8,Konrad Matuszewski,61,70,675000.0,550.0,58,18,49,54,27,47,45,22,42,54,80,77,56,55,61,39,74,63,63,31,51,58,33,45,35,44,56,58,55,11,7,11,11,7
9,Patryk Prange,52,63,140000.0,500.0,13,6,11,28,8,6,11,11,18,19,15,26,39,47,33,35,54,21,64,7,27,10,4,31,10,37,9,14,12,51,54,46,49,52
10,Román Vega,62,76,875000.0,500.0,56,23,53,63,36,62,51,40,61,58,67,65,58,55,67,35,58,67,59,33,53,57,52,49,45,45,48,63,66,5,11,11,7,13
11,Franco Coman,62,69,800000.0,2000.0,63,51,39,56,54,65,54,41,50,60,79,72,67,54,65,58,47,64,52,41,64,34,54,54,58,53,39,29,33,10,12,7,9,9
