,Unnamed: 0,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
6,6.0,Jack Wills,55.0,72.0,300000.0,500.0,13.0,10.0,11.0,18.0,12.0,11.0,11.0,10.0,18.0,12.0,24.0,32.0,30.0,41.0,49.0,41.0,62.0,21.0,36.0,10.0,16.0,11.0,12.0,23.0,11.0,21.0,13.0,11.0,10.0,56.0,57.0,55.0,54.0,54.0
7,7.0,Patrick Moser,56.0,69.0,300000.0,600.0,14.0,7.0,12.0,30.0,6.0,8.0,15.0,11.0,27.0,17.0,34.0,23.0,39.0,50.0,25.0,44.0,31.0,25.0,70.0,8.0,22.0,10.0,8.0,29.0,11.0,35.0,9.0,11.0,15.0,58.0,53.0,58.0,52.0,59.0
14,14.0,Cody Nobles Mizell,56.0,56.0,100000.0,1000.0,20.0,12.0,16.0,31.0,17.0,16.0,20.0,18.0,38.0,15.0,19.0,24.0,30.0,56.0,54.0,45.0,50.0,27.0,51.0,11.0,29.0,10.0,10.0,41.0,25.0,38.0,11.0,18.0,19.0,56.0,51.0,60.0,54.0,58.0
15,15.0,Kerian Atheba,54.0,65.0,200000.0,1000.0,14.0,8.0,13.0,24.0,10.0,15.0,13.0,15.0,22.0,15.0,48.0,46.0,38.0,48.0,33.0,35.0,68.0,23.0,71.0,8.0,31.0,13.0,6.0,38.0,14.0,31.0,11.0,13.0,12.0,63.0,48.0,46.0,43.0,61.0
28,28.0,Ye Hoon Ueom,58.0,70.0,400000.0,500.0,12.0,8.0,15.0,25.0,6.0,14.0,14.0,15.0,20.0,17.0,32.0,27.0,34.0,54.0,26.0,40.0,39.0,24.0,77.0,10.0,29.0,12.0,7.0,37.0,15.0,30.0,9.0,13.0,14.0,60.0,58.0,53.0,56.0,58.0
33,33.0,Sebastian Breza,64.0,68.0,675000.0,4000.0,11.0,10.0,22.0,27.0,7.0,12.0,14.0,12.0,25.0,18.0,33.0,34.0,24.0,57.0,23.0,38.0,58.0,34.0,73.0,7.0,37.0,12.0,8.0,32.0,21.0,23.0,14.0,11.0,13.0,64.0,64.0,50.0,64.0,68.0
44,44.0,Ángel Ariel González González,57.0,75.0,350000.0,500.0,10.0,6.0,11.0,25.0,8.0,7.0,9.0,11.0,17.0,16.0,28.0,30.0,25.0,51.0,25.0,44.0,33.0,28.0,58.0,8.0,25.0,8.0,7.0,55.0,18.0,39.0,8.0,11.0,12.0,58.0,55.0,58.0,56.0,59.0
47,47.0,Zemin Tan,59.0,61.0,210000.0,2000.0,11.0,7.0,12.0,16.0,6.0,7.0,13.0,9.0,25.0,14.0,22.0,23.0,31.0,56.0,26.0,41.0,32.0,25.0,60.0,9.0,27.0,7.0,7.0,35.0,12.0,22.0,8.0,12.0,11.0,63.0,57.0,55.0,53.0,60.0
58,58.0,Shanyuan Xiong,57.0,57.0,30000.0,2000.0,11.0,7.0,9.0,18.0,9.0,6.0,13.0,12.0,27.0,11.0,27.0,30.0,34.0,42.0,25.0,44.0,27.0,22.0,64.0,7.0,22.0,8.0,7.0,30.0,18.0,27.0,9.0,10.0,12.0,59.0,56.0,58.0,49.0,65.0
1,1.0,Julian Bauer,56.0,62.0,190000.0,850.0,14.0,8.0,13.0,22.0,7.0,7.0,14.0,12.0,20.0,17.0,32.0,19.0,21.0,42.0,28.0,38.0,34.0,24.0,57.0,7.0,16.0,6.0,8.0,32.0,12.0,30.0,9.0,10.0,11.0,58.0,56.0,51.0,53.0,59.0
4,4.0,Patrick Schulte,56.0,67.0,275000.0,650.0,14.0,5.0,13.0,27.0,6.0,10.0,12.0,14.0,28.0,14.0,15.0,18.0,29.0,50.0,27.0,40.0,36.0,19.0,63.0,6.0,22.0,6.0,5.0,24.0,16.0,36.0,5.0,11.0,10.0,54.0,54.0,53.0,59.0,54.0
