iter	RMSE
0	8876872.786
1	8626718.956
2	8574130.1323	7881102.7244	7943618.113
5	7721032.769
6	7515316.143
7	7326250.009
8	7130857.718
9	6929276.125
1010	6904519.691111	6755507.2112	6605679.303113	6460408.337114	6299043.771115	6114033.351616	5994069.511717	5852293.101818	5740521.961919	5621845.862020	5518990.322121	5398360.282222	5284308.372323	5193615.022424	5087831.725	25	4968323.226	26	4869075.727	27	4776154.28	428	4693590.29	429	4599759.30	430	4514439.31	31	4422555.32	432	4346583.33	433	4257618.34	434	4172438.35	435	4106803.36	436	4039466.37	437	3974824.38	438	390513939	3939	38392540	38940	37715841	341	3703439.42	342	3648384.43	43	3588002.144	44	3528653.545	45	3477148.146	46	3425218.847	47	3370603.84848	3314996.674949	3258392.775050	3210581.275151	3162319.005252	3111651.535353	3065975.5654	3119317.102
5555	2974147.256	3031111.221
57	2986823.553
58	58	2844499.59	59	2802567.76060	2760844.586161	2723905.4262	2787230.779
6363	2642150.3464	2713614.813
65	2670871.263
66	2632437.044
67	2596332.69
68	2559536.217
69	2525412.738
70	2490535.261
71	2452828.896
72	2418730.959
73	2387659.205
74	2355853.329
75	2316817.367
76	2283072.666
77	2254102.312
78	2225964.764
79	2196517.158
80	2163768.068
81	2138098.206
82	2111651.325
83	2085507.996
84	2061874.379
85	2033266.683
86	2004282.694
87	1978317.827
88	1954482.177
89	1931477.481
90	1907090.786
91	1881588.058
92	1859895.013
93	1838814.048
94	1814764.876
95	1795116.977
96	1771772.038
97	1752310.01
98	1731216.887
99	1713096.744
100	1689670.942
101	1672160.453
102	1651460.294
103	1632113.105
104	1613336.22
105	1596274.856
106	1578623.245
107	1563558.151
108	1546187.84
109	1526746.611
110	1512383.913
111	1494458.172
112	1479164.966
113	1464441.283
114	1447572.544
115	1432710.979
116	1417378.806
117	1404033.477
118	1390176.061
119	1376993.148
120	1364731.239
121	1348829.533
122	1336351.088
123	1322328.077
124	1309322.069
125	1295275.382
126	1282996.168
127	1270530.956
128	1259883.786
129	1249038.51
130	1237688.281
131	1224975.141
132	1214379.07
133	1202668.637
134	1191645.161
135	1182135.971
136	1171528.81
137	1158199.452
138	1148109.443
139	1136031.384
140	1124021.405
141	1113490.866
142	1103441.088
143	1093726.851
144	1085656.671
145	1077502.293
146	1067603.927
147	1059193.005
148	1049797.353
149	1041507.265
150	1033397.78
151	1022728.809
152	1012490.989
153	1002822.355
154	995148.9135
155	987166.6679
156	979364.3401
157	971680.755
158	964119.3294
159	956443.3988
160	946487.4111
161	939348.1002
162	931131.3176
163	923388.5888
164	915609.2641
165	907510.8729
166	900299.0343
167	892038.2176
168	885843.3835
169	879018.8512
170	873090.0931
171	867676.3765
172	860410.6757
173	853180.7103
174	845198.0066
175	838446.9301
176	832466.6574
177	824868.5282
178	820540.3408
179	815236.3671
180	809388.9224
181	805055.6069
182	800162.5808
183	795131.4552
184	788722.6398
185	784617.418
186	779802.0518
187	775539.0502
188	769601.72
189	762820.2305
190	757051.944
191	753269.7306
192	745880.3354
193	739515.3061
194	733298.2167
195	727882.2517
196	723929.3857
197	717344.0927
198	710595.4278
199	704895.8306
200	701266.351
201	696408.1744
202	692379.8043
203	688036.5869
204	682268.2058
205	679016.5205
206	674710.3584
207	671787.0749
208	668575.0283
209	662118.6059
210	656887.3481
211	653331.7959
212	649301.6375
213	646274.937
214	640356.1744
215	636545.5117
216	634071.8664
217	632317.6763
218	626304.3938
219	619886.6156
220	616467.4184
221	613551.6179
222	610465.2614
223	605333.4664
224	600220.8709
225	599316.2538
226	593639.3775
227	591805.78
228	587466.3369
229	585531.0658
230	580188.9413
231	575364.603
232	569743.0021
233	565435.2656
234	563696.8481
235	559957.5719
236	554995.3054
237	552468.3962
238	547348.8494
239	542763.4894
240	538949.2522
241	535250.8194
242	531434.5775
243	527359.0533
244	523348.1756
245	521216.9623
246	517573.832
247	514528.4892
248	510737.8664
249	507459.8579
250	504535.5798
251	500580.8552
252	497101.0489
253	492731.6339
254	490391.691
255	487739.2137
256	485892.722
257	484103.9746
258	481027.3678
259	480589.3028
260	476791.1511
261	473775.9379
262	469869.2556
263	466814.808
264	463872.9808
265	460634.7866
266	458195.4451
267	456630.0921
268	453171.4988
269	451283.5445
270	449314.1714
271	446565.2994
272	444196.3278
273	441810.2375
274	439724.8477
275	437198.0677
276	433864.9539
277	431467.8682
278	429607.4036
279	427406.5122
280	424665.5533
281	421518.6209
282	419025.2843
283	416455.8268
284	413869.1329
285	412208.9016
286	409879.4847
287	407422.0335
288	404744.9295
289	403685.4649
290	401799.152
291	400292.5935
292	398267.1096
293	395372.3999
294	392693.4257
295	390628.6954
296	389734.1467
297	388083.3753
298	386329.2179
299	384242.0986
300	382912.4554
301	381919.7867
302	379472.9842
303	377629.316
304	376112.2004
305	373493.1591
306	372525.1738
307	371169.7512
308	369858.9055
309	367914.6519
310	365694.6479
311	363572.7519
312	361694.9394
313	359471.5741
314	356877.4438
315	354979.5454
316	352827.7985
317	351514.0719
318	349683.0788
319	348126.4121
320	346822.2309
321	345876.9289
322	343801.6504
323	342110.5407
