iter	Passed	Remaining
0	3793	3789704
1	7278	3631881
2	10417	346202133	13357	332590844	16638	331102355	20046	332100366	23269	330096877	26788	332171488	30302	333664499	34035	3369515
10	34427	3095310
11	38596	3177766
12	42040	3191828
13	44849	3158665
14	48487	3183982
15	51416	3162118
16	53709	3105667117	56813	3099494118	59856	3090510119	63093	309160220	66441	3097460
221	70158	3118880222	73442	3119716223	76562	3113523224	79471	3099378225	82657	3096477226	86097	3102691227	90274	3133805228	94160	3152747229	97640	3157033330	100215	3132543331	103870	3142083332	106509	312106333	110398	313661034	115803	3192877
35	119093	3189058
36	121904	3172808
37	125327	3172753
38	128820	3174259
39	131468	3155240
40	134579	3147847
41	137584	3138228
42	140717	3131784
43	143721	3122667
44	147065	3121067
45	149838	3107512
46	153257	3107548
47	156089	3095767
48	159101	3087870
49	162686	3091042
50	166305	3094586
51	170112	3101280
52	173648	3102744
53	176965	3100170
5454	180530	31018355	184701	3113537
556	188496	311845157	191946	3117475
58	195459	3117412
559	199061	3118634660	203202	312798661	205814	3113773
62	209372	3113998
63	212903	3113720
664	217548	3129344665	220621	3122126666	224110	3120827667	227697	3120791668	231492	3123476669	235408	3127568770	238640	3122498771	242293	3122891772	250185	317701273	253749	3175294
74	257102	3170929
775	260032	3161445776	263217	315519177	267516	3162186
78	272342	3175033
79	279062	3209219
80	283105	3212024
81	286239	3204487
82	289286	3196088
83	293466	3200183
84	296735	3194265
85	300483	3193518686	304367	3194112
87	308648	3198717
88	313143	3205318
89	316433	3199494
90	320974	3206212
91	324647	3204129
92	327637	3195348
93	331011	3190389
94	334197	3183667
95	337163	3174951
96	340922	3173740
97	344441	3170266
98	347395	3161647
99	350926	3158335
100	354221	3152919
101	357624	3148493
102	357755	3115597
103	360609	3106792
104	364420	3106247
105	367789	3101920
106	371361	30993010107	375010	3097310
108	378373	30929410109	381750	30887111110	385544	30878311111	389033	30844711112	392104	30778411113	395279	307208114	395541	3043949
115	398641	3037921
11116	402853	30403311117	405564	303141118	408377	3023362
119	411983	3021213
120	415226	3016397
121	419045	3015752
122	422267	3010801
123	425411	3005328
124	428970	3002793
125	432501	3000048
126	436260	2998861
127	439926	2996998
128	442929	2990633
129	445569	2981885
130	448607	2975875
131	452217	2973669
132	456151	2973559
133	459971	2972652
134	463008	2966686
135	467212	2968172
136	471141	2967849
137	475260	2968657
138	478836	2966029
139	483036	2967223
140	486069	2961231
141	489840	2959738
142	493279	2956226
143	497181	2955469
144	501216	2955449
145	504859	2953084
146	508549	2950973
147	511931	2947065
148	515757	2945700
149	519405	2943295
150	522535	2937962
151	525814	2933489
152	528974	2928376
153	532529	2925453
154	536763	2926224
155	540175	2922485
156	543337	2917412
157	546797	2913947
158	550162	2909976
159	554464	2910938
160	558251	2909147
161	561831	2906265
162	565161	2902085
163	568815	2899573
164	572592	2897663
165	575792	2892836
166	578981	2887975
167	582217	2883364
168	585384	2878431
169	588812	2874788
170	592008	2870027
171	595511	2866764
172	598867	2862793
173	602060	2858057
174	605199	2853082
175	608464	2848722
176	611508	2843343
177	614722	2838775
178	617980	2834424
179	621263	2830199
180	624415	2825392
181	627580	2820663
182	630798	2816185
183	633791	2810727
184	636763	2805201
185	640426	2802724
186	643110	2795982
187	646327	2791585
188	649800	2788296
189	653027	2783957
190	656509	2780711
191	659831	2776791
192	663463	2774173
193	667028	2771263
194	670428	2767667
195	674184	2765531
196	677540	2761750
197	681759	2761471
198	685210	2758058
199	688000	2752001
200	691630	2749316
201	695150	2746189
202	699097	2744733
203	702937	2742833
204	706850	2741202
205	710773	2739584
206	714349	2736614
207	718036	2734063
208	721926	2732266
209	725610	2729677
210	729370	2727360
211	732961	2724403
212	736785	2722299
213	740530	2719892
214	744459	2718143
215	748014	2715014
216	751574	2711902
217	754758	2707435
218	758660	2705541
219	762503	2703420
220	766436	2701601
221	769967	2698353
222	773797	2696145
223	777922	2694946
224	781740	2692661
225	785422	2689897
226	788959	2686631
227	792489	2683340
228	796415	2681382
229	799485	2676540
230	804195	2677171
231	808294	2675732
232	812666	2675171
233	816350	2672326
234	820196	2670001
235	823391	2665553
236	827044	2662594
237	831207	2661262
238	835148	2659196
239	838480	2655189
240	842212	2652443
241	845362	2647871
242	848818	2644262
243	853061	2643092
244	856577	2639658
245	860363	2637048
246	863751	2633217
247	867900	2631698
248	871626	2628881
249	875896	2627688
250	879792	2625357
251	884025	2624012
252	888227	2622552
253	892082	2620053
254	895693	2616828
255	899197	2613291
256	902609	2609490
257	905499	2604187
258	909456	2601959
259	913399	2599676
260	916805	2595860
261	920384	2592533
262	924270	2590067
263	928521	2588605
264	932129	2585341
265	932642	2573531
266	935960	2569508
267	939673	2566571
268	943453	2563809
269	947161	2560843
270	950910	2557984
271	954471	2554613
272	958424	2552286
273	962433	2550097
274	966350	2547652
275	970385	2545504
276	974133	2542592
277	977384	2538387
278	980160	2532958
279	984010	2530313
280	987628	2527063
281	990624	2522228
282	994122	2518677
283	998006	2516100
284	1002108	2514060
285	1004924	2508797
286	1008513	2505470
287	1011626	2500964
288	1015929	2499396
289	1019010	2494819
290	1022760	2491880
291	1026570	2489081
292	1029782	2484833
293	1033497	2481799
294	1036478	2477009
295	1039497	2472319
296	1042971	2468716
297	1046284	2464736
298	1049497	2460526
299	1052588	2456040
300	1056895	2454386
301	1060951	2452132
302	1064198	2448007
303	1067532	2444087
304	1071555	2441740
305	1075577	2439380
306	1079218	2436150
307	1083579	2434535
308	1086876	2430524
309	1091068	2428507
310	1094964	2425822
311	1098825	2423050
312	1102662	2420220
313	1105966	2416220
314	1123166	2442441
315	1126680	2438764
316	1130419	2435572
317	1133871	2431762
318	1137414	2428149
319	1141078	2424792
320	1144622	2421179
321	1148262	2417769
322	1151673	2413880
323	1155339	2410523
324	1159091	2407343
325	1161934	2402282
326	1165555	2398833
327	1169439	2395923
328	1172610	2391556
329	1175934	2387504
330	1179608	2384163
331	1183607	2381474
332	1187047	2377659
333	1190749	2374367
334	1194475	2371122
335	1197994	2367464
336	1200898	2362598
337	1204400	2358914
338	1208045	2355510
339	1211858	2352431
340	1215616	2349241
341	1220365	2347954
342	1226355	2349025
343	1232007	2349409
344	1238390	2351147
345	1242278	2348120
346	1246071	2344911
347	1249790	2341562
348	1254520	2340093
349	1258867	2337896
350	1261819	2333106
351	1266802	2332068
352	1270995	2329558
353	1274968	2326637
354	1280623	2326766
355	1283809	2322396
356	1286903	2317867
357	1290280	2313854
358	1293698	2309918
359	1297318	2306344
360	1301223	2303273
361	1304865	2299734
362	1308158	2295583
363	1311788	2292026
364	1315492	2288596
365	1318849	2284564
366	1322008	2280193
367	1325496	2276395
368	1328563	2271879
369	1332243	2268414
370	1336100	2265249
371	1339980	2262117
372	1343634	2258602
373	1347156	2254866
374	1350263	2250438
375	1353292	2245889
376	1355886	2240629
377	1359330	2236782
378	1362541	2232554
379	1366188	2229044
380	1369778	2225441
381	1373619	2222243
382	1377203	2218628
383	1381011	2215372
384	1384691	2211909
385	1388213	2208195
386	1391969	2204850
387	1395639	2201368
388	1398863	2197186
389	1402177	2193149
390	1406172	2190177
391	1409425	2186048
392	1413103	2182579
393	1416463	2178621
394	1420057	2175025
395	1423569	2171302
396	1426862	2167250
397	1429966	2162914
398	1432921	2158361
399	1435983	2153975
400	1439437	2150182
401	1443251	2146926
402	1447019	2143598
403	1450891	2140423
404	1454563	2136951
405	1457894	2132978
406	1462250	2130502
407	1465930	2127036
408	1469244	2123039
409	1472886	2119520
410	1475962	2115186
411	1478684	2110354
412	1482336	2106856
413	1485712	2102965
414	1489155	2099171
415	1492782	2095637
416	1496396	2092083
417	1500302	2088938
418	1503920	2085388
419	1507732	2082107
420	1510986	2078055
421	1513703	2073271
422	1516888	2069136
423	1520401	2065450
424	1524408	2062435
425	1528637	2059714
426	1532670	2056722
427	1536784	2053834
428	1541370	2051568
429	1544984	2048002
430	1548769	2044663
431	1552851	2041712
432	1556663	2038401
433	1560338	2034911
434	1564420	2031948
435	1568003	2028334
436	1572245	2025570
437	1576201	2022432
438	1580007	2019098
439	1582965	2014683
440	1585929	2010282
441	1589046	2006081
442	1592745	2002616
443	1597070	1999935
444	1601300	1997127
445	1605190	1993891
446	1609313	1990940
447	1612874	1987291
448	1616750	1984030
449	1620432	1980528
450	1623872	1976731
451	1627690	1973394
452	1631212	1969698
453	1635270	1966647
454	1640106	1964522
455	1644328	1961655
456	1648502	1958723
457	1651651	1954574
458	1656231	1952116
459	1659703	1948347
460	1663342	1944776
461	1667058	1941293
462	1670581	1937586
463	1674492	1934327
464	1677991	1930592
465	1681871	1927294
466	1685202	1923368
467	1688179	1919042
468	1691898	1915560
469	1695473	1911916
470	1698369	1907510
471	1702011	1903945
472	1705323	1900011
473	1709396	1896925
474	1713067	1893389
475	1715985	1889025
476	1719252	1885050
477	1723213	1881836
478	1726219	1877578
479	1729605	1873739
480	1732327	1869185
481	1736063	1865728
482	1740066	1862555
483	1743633	1858915
484	1747295	1855375
485	1750329	1851171
486	1753846	1847481
487	1756840	1843242
488	1760012	1839195
489	1763235	1835203
490	1766685	1831451
491	1769822	1827377
492	1773537	1823901
493	1776908	1820072
494	1780208	1816172
495	1784348	1813128
496	1788086	1809673
497	1791905	1806298
498	1795247	1802443
499	1798819	1798819
500	1802566	1795370
501	1805976	1791586
502	1809318	1787736
503	1812930	1784154
504	1816485	1780515
505	1820081	1776917
506	1824086	1773717
507	1827903	1770332
508	1831604	1766832
509	1835203	1763234
510	1839230	1760046
511	1842217	1755863
512	1845499	1751965
513	1848933	1748213
514	1852486	1744574
515	1855714	1740630
516	1859238	1736967
517	1862672	1733220
518	1866301	1729654
519	1869251	1725462
520	1872845	1721867
521	1876228	1718079
522	1879506	1714196
523	1882717	1710255
524	1887015	1707299
525	1890895	1703963
